residue,monomer,category,smiles,connection_point,,
D-olivose_OH,D-olivose,saccharide,CC1OC([*:1])CC(O)C1O,{"OH":1},,
D-olivose_inner,D-olivose,saccharide,CC1OC([*:1])CC(O)C1O([*:2]),"{""OH"":1, ""H"":2}",,
D-olivose_H,D-olivose,saccharide,CC1OC(O)CC(O)C1O([*:1]),{"H":1},,
2-deoxy-D-evalose_OH,2-deoxy-D-evalose,saccharide,CC1OC([*:1])CC(C)(O)C1O,{"OH":1},,
2-deoxy-D-evalose_inner1,2-deoxy-D-evalose,saccharide,CC1OC([*:1])CC(C)(O([*:2]))C1O,"{""OH"":1, ""H"":2}",,
2-deoxy-D-evalose_inner2,2-deoxy-D-evalose,saccharide,CC1OC([*:1])CC(C)(O)C1O([*:2]),"{""OH"":1, ""H"":2}",,
2-deoxy-D-evalose_H1,2-deoxy-D-evalose,saccharide,CC1OC(O)CC(C)(O([*:1]))C1O,{"H":1},,
2-deoxy-D-evalose_H2,2-deoxy-D-evalose,saccharide,CC1OC(O)CC(C)(O)C1O([*:1]),{"H":1},,
D-fucose_OH,D-fucose,saccharide,CC1OC([*:1])C(O)C(O)C1O,{"OH":1},,
D-fucose_inner,D-fucose,saccharide,CC1OC([*:1])C(O)C(O([*:2]))C1O,"{""OH"":1, ""H"":2}",,
D-fucose_H,D-fucose,saccharide,CC1OC(O)C(O)C(O([*:1]))C1O,{"H":1},,
D-mannose_OH,D-mannose,saccharide,OCC1OC([*:1])C(O)C(O)C1O,{"OH":1},,
D-mannose_inner,D-mannose,saccharide,OCC1OC([*:1])C(O)C(O)C1O([*:2]),"{""OH"":1, ""H"":2}",,
D-mannose_H,D-mannose,saccharide,OCC1OC(O)C(O)C(O)C1O([*:1]),{"H":1},,
L-lyxose_H1,L-lyxose,cyclitol,O([*:1])C1COC(O)C(O)C1O,{"H":1},,
L-lyxose_H2,L-lyxose,cyclitol,OC1COC(O)C(O)C1O([*:1]),{"H":1},,
L-lyxose_inner1,L-lyxose,cyclitol,O([*:2])C1COC(O([*:1]))C(O)C1O,"{""H1"":1, ""H2"":2}",,
L-lyxose_inner2,L-lyxose,cyclitol,OC1COC(O([*:1]))C(O)C1O([*:2]),"{""H1"":1, ""H2"":2}",,
L-lyxose_H3,L-lyxose,cyclitol,OC1COC(O([*:1]))C(O)C1O,{"H":1},,
4-acetyl-D-fucose_OH,4-acetyl-D-fucose,saccharide,CC1OC([*:1])C(O)C(O)C1(O)C(C)=O,{"OH":1},,
2-deoxystreptamine_H1,2-deoxystreptamine,cyclitol,NC1CC(N)C(O)C(O)C1O([*:1]),{"H":1},,
2-deoxystreptamine_inner1,2-deoxystreptamine,cyclitol,NC1CC(N)C(O)C(O([*:2]))C1O([*:1]),"{""H1"":1, ""H2"":2}",,
2-deoxystreptamine_H2,2-deoxystreptamine,cyclitol,NC1CC(N)C(O)C(O([*:1]))C1O,{"H":1},,
2-deoxystreptamine_inner2,2-deoxystreptamine,cyclitol,NC1CC(N)C(O([*:1]))C(O)C1O([*:2]),"{""H1"":1, ""H2"":2}",,
1-epi-valienol-7-phosphate_OH,1-epi-valienol-7-phosphate,cyclitol,OC1C([*:1])C=C(COP(O)(O)=O)C(O)C1O,{"OH":1},,
"4-amino-4,6-dideoxy-D-glucose_H","4-amino-4,6-dideoxy-D-glucose",saccharide,CC1OC(O)C(O)C(O)C1N([*:1]),{"H":1},,
"4-amino-4,6-dideoxy-D-glucose_OH","4-amino-4,6-dideoxy-D-glucose",saccharide,CC1OC([*:1])C(O)C(O)C1N,{"OH":1},,
"4-amino-4,6-dideoxy-D-glucose_inner","4-amino-4,6-dideoxy-D-glucose",saccharide,CC1OC([*:1])C(O)C(O)C1N([*:2]),"{""OH"":1, ""H"":2}",,
D-glucose_OH,D-glucose,saccharide,OCC1OC([*:1])C(O)C(O)C1O,{"OH":1},,
D-glucose_inner,D-glucose,saccharide,OCC1OC([*:1])C(O)C(O)C1O([*:2]),"{""OH"":1, ""H"":2}",,
D-glucose_H,D-glucose,saccharide,OCC1OC(O)C(O)C(O)C1O([*:1]),{"H":1},,
"2,7DAOct_OH","2,7DAOct",saccharide,NC1C([*:1])OC2C(O)C(O)C(O)OC2C1O,{"OH":1},,
"2,7DAOct_inner","2,7DAOct",saccharide,NC1C([*:1])OC2C(O)C(O)C(O([*:2]))OC2C1O,"{""OH"":1, ""H"":2}",,
"2,7DAOct_H","2,7DAOct",saccharide,NC1C(O)OC2C(O)C(O)C(O([*:1]))OC2C1O,{"H":1},,
D-glucosamine_OH,D-glucosamine,saccharide,NC1C([*:1])OC(CO)C(O)C1O,{"OH":1},,
D-ribose_OH,D-ribose,saccharide,OCC1OC([*:1])C(O)C1O,{"OH":1},,
D-ribose_inner,D-ribose,saccharide,OCC1OC([*:1])C(O)C1O([*:2]),"{""OH"":1, ""H"":2}",,
D-ribose_H,D-ribose,saccharide,OCC1OC(O)C(O)C1O([*:1]),{"H":1},,
scyllo-inosamine_H,scyllo-inosamine,cyclitol,NC1C(O([*:1]))C(O)C(O)C(O)C1O,{"H":1},,
D-xylose_OH,D-xylose,saccharide,OC1COC([*:1])C(O)C1O,{"OH":1},,
L-fucofuranose_OH,L-fucofuranose,saccharide,CC(O)C1OC([*:1])C(O)C1O,{"OH":1},,
"3,4-dihydroxy-alpha-methylcinnamic-acid_OH","3,4-dihydroxy-alpha-methylcinnamic-acid",acid,CC(C([*:1])=O)=CC1=CC=C(O)C(O)=C1,{"OH":1},,
"3,4-dihydroxy-alpha-methylcinnamic-acid_inner","3,4-dihydroxy-alpha-methylcinnamic-acid",acid,CC(C([*:1])=O)=CC1=CC=C(O([*:2]))C(O)=C1,"{""OH"":1, ""H"":2}",,
"3,4-dihydroxy-alpha-methylcinnamic-acid_H","3,4-dihydroxy-alpha-methylcinnamic-acid",acid,CC(=CC1=CC=C(O([*:1]))C(O)=C1)C(O)=O,{"H":1},,
2L-2-amino-2-deoxy-neo-inositol_H,2L-2-amino-2-deoxy-neo-inositol,cyclitol,N([*:1])C1C(O)C(O)C(O)C(O)C1O,{"H":1},,
N-acetylglucosamine_OH,N-acetylglucosamine,saccharide amide derivative,CC(=O)NC1C([*:1])OC(CO)C(O)C1O,{"OH":1},,
N-acetylglucosamine_inner,N-acetylglucosamine,saccharide amide derivative,CC(=O)NC1C([*:1])OC(CO)C(O([*:2]))C1O,"{""OH"":1, ""H"":2}",,
N-acetylglucosamine_H,N-acetylglucosamine,saccharide amide derivative,CC(=O)NC1C(O)OC(CO)C(O([*:1]))C1O,{"H":1},,
2-deoxy-scyllo-inosamine_H,2-deoxy-scyllo-inosamine,cyclitol,NC1CC(O)C(O)C(O)C1O([*:1]),{"H":1},,
valienone_OH,valienone,cyclitol,OCC1=CC([*:1])C(O)C(O)C1O,{"OH":1},,OCC1=CC(O)C(O)C(O)C1O
validone_OH,validone,cyclitol,OCC1CC([*:1])C(O)C(O)C1O,{"OH":1},,
kanosamine_OH,kanosamine,saccharide,NC1C(O)C([*:1])OC(CO)C1O,{"OH":1},,
4-carboxyformimidoyl-kasugamine_OH,4-carboxyformimidoyl-kasugamine,saccharide,CC1OC([*:1])C(N)CC1NC(=N)C(O)=O,{"OH":1},,
myo-inositol_H,myo-inositol,cyclitol,OC1C(O([*:1]))C(O)C(O)C(O)C1O,{"H":1},,
actinamine_H1,actinamine,cyclitol,CNC1C(O([*:1]))C(O)C(O)C(NC)C1O,{"H":1},,
actinamine_H2,actinamine,cyclitol,CNC1C(O)C(O([*:1]))C(O)C(NC)C1O,{"H":1},,
actinospectose_OH,actinospectose,saccharide,CC1CC(=O)C(O)C([*:1])O1,{"OH":1},,
streptidine_H,streptidine,cyclitol,NC(N)=NC1C(O([*:1]))C(O)C(O)C(N=C(N)N)C1O,{"H":1},,
streptose_OH,streptose,saccharide,CC1OC([*:1])C(O)C1(O)C=O,{"OH":1},,
streptose_inner,streptose,saccharide,CC1OC([*:1])C(O([*:2]))C1(O)C=O,"{""OH"":1, ""H"":2}",,
streptose_H,streptose,saccharide,CC1OC(O)C(O([*:1]))C1(O)C=O,{"H":1},,
N-methyl-glucosamine_OH,N-methyl-glucosamine,saccharide,CNC1C([*:1])OC(CO)C(O)C1O,{"OH":1},,
glutamine,glutamine,saccharide,NC(CCC(N)=O)C(O)=O,{},,
desosamine_OH,desosamine,saccharide,CC1CC(C(O)C([*:1])O1)N(C)C,{"OH":1},,
p-hydroxymandelonitrile_H,p-hydroxymandelonitrile,saccharide,O([*:1])C(C#N)C1=CC=C(O)C=C1,{"H":1},,
"2,6-diamino-2,6-dideoxyglucose_OH","2,6-diamino-2,6-dideoxyglucose",saccharide,NCC1OC([*:1])C(N)C(O)C1O,{"OH":1},,
5'-hydrostreptose_OH,5'-hydrostreptose,saccharide,CC1OC([*:1])C(O)C1(O)CO,{"OH":1},,
5'-hydrostreptose_inner,5'-hydrostreptose,saccharide,CC1OC([*:1])C(O([*:2]))C1(O)CO,"{""OH"":1, ""H"":2}",,
5'-hydrostreptose_H,5'-hydrostreptose,saccharide,CC1OC(O)C(O([*:1]))C1(O)CO,{"H":1},,
